city,state_code,state_name,county,latitude,longitude
Brownsville,OH,Ohio,Licking,39.946944,-82.256667
Brunswick,OH,Ohio,Medina,41.247053,-81.827968
Bryan,OH,Ohio,Williams,41.474839,-84.56287
Buchtel,OH,Ohio,Athens,39.461944,-82.181944
Buckeye Lake,OH,Ohio,Licking,39.933611,-82.4725
Buckland,OH,Ohio,Auglaize,40.622778,-84.26
Bucyrus,OH,Ohio,Crawford,40.810306,-82.969829
Buffalo,OH,Ohio,Guernsey,39.915833,-81.520278
Buford,OH,Ohio,Highland,39.076667,-83.844167
Burbank,OH,Ohio,Wayne,40.963725,-81.995753
Burghill,OH,Ohio,Trumbull,41.334688,-80.54406
Burgoon,OH,Ohio,Sandusky,41.267986,-83.247455
Burkettsville,OH,Ohio,Mercer,40.351944,-84.642222
Burton,OH,Ohio,Geauga,41.452702,-81.15262
Butler,OH,Ohio,Richland,40.543754,-82.398984
Byesville,OH,Ohio,Guernsey,39.962336,-81.548485
Cable,OH,Ohio,Champaign,40.178411,-83.64696
Cadiz,OH,Ohio,Harrison,40.264537,-80.996244
Cairo,OH,Ohio,Allen,40.831944,-84.086111
Caldwell,OH,Ohio,Noble,39.746651,-81.51528
Caledonia,OH,Ohio,Marion,40.627239,-82.992465
Cambridge,OH,Ohio,Guernsey,40.030501,-81.591277
Camden,OH,Ohio,Preble,39.613391,-84.610008
Cameron,OH,Ohio,Monroe,39.766944,-80.945
Camp Dennison,OH,Ohio,Hamilton,39.196212,-84.289659
Campbell,OH,Ohio,Mahoning,41.077829,-80.589721
Canal Fulton,OH,Ohio,Stark,40.88871,-81.577269
Canal Winchester,OH,Ohio,Franklin,39.83486,-82.804369
Canfield,OH,Ohio,Mahoning,41.029328,-80.756436
Canton,OH,Ohio,,40.827,-81.3853
Canton,OH,Ohio,Stark,40.7962,-81.3768
Carbon Hill,OH,Ohio,Hocking,39.501667,-82.244722
Carbondale,OH,Ohio,Athens,39.377778,-82.271111
Cardington,OH,Ohio,Morrow,40.506583,-82.933728
Carey,OH,Ohio,Wyandot,40.948599,-83.383578
Carroll,OH,Ohio,Fairfield,39.795743,-82.708358
Carrollton,OH,Ohio,Carroll,40.578663,-81.081789
Casstown,OH,Ohio,Miami,40.071578,-84.108799
Castalia,OH,Ohio,Erie,41.387229,-82.799426
Catawba,OH,Ohio,Clark,39.999167,-83.621667
Cecil,OH,Ohio,Paulding,41.217355,-84.629646
Cedarville,OH,Ohio,Greene,39.748424,-83.801253
Celina,OH,Ohio,Mercer,40.546074,-84.570067
Centerburg,OH,Ohio,Knox,40.286513,-82.680039
Chagrin Falls,OH,Ohio,Cuyahoga,41.418577,-81.361437
Chagrin Falls,OH,Ohio,Geauga,41.430833,-81.392222
Chandlersville,OH,Ohio,Muskingum,39.889659,-81.830084
Chardon,OH,Ohio,Geauga,41.571862,-81.205629
Charm,OH,Ohio,Holmes,40.506667,-81.785
Chatfield,OH,Ohio,Crawford,40.956637,-83.021432
Chauncey,OH,Ohio,Athens,39.397778,-82.129444
Cherry Fork,OH,Ohio,Adams,38.8875,-83.614444
Chesapeake,OH,Ohio,Lawrence,38.455089,-82.450448
Cheshire,OH,Ohio,Gallia,38.958678,-82.123537
Chester,OH,Ohio,Meigs,39.0875,-81.922778
Chesterhill,OH,Ohio,Morgan,39.495277,-81.877286
Chesterland,OH,Ohio,Geauga,41.534378,-81.342102
Chesterville,OH,Ohio,Morrow,40.48,-82.683611
Chickasaw,OH,Ohio,Mercer,40.436944,-84.493333
Chillicothe,OH,Ohio,Ross,39.337997,-82.98949
Chilo,OH,Ohio,Clermont,38.793056,-84.140833
Chippewa Lake,OH,Ohio,Medina,41.06719,-81.909173
Christiansburg,OH,Ohio,Champaign,40.055278,-84.026111
Cincinnati,OH,Ohio,Clermont,39.091293,-84.277383
Cincinnati,OH,Ohio,Hamilton,39.1063,-84.5356
Circleville,OH,Ohio,Pickaway,39.598836,-82.929966
Clarington,OH,Ohio,Monroe,39.781908,-80.911311
Clarksburg,OH,Ohio,Ross,39.490432,-83.156282
Clarksville,OH,Ohio,Clinton,39.404233,-83.959407
Clay Center,OH,Ohio,Ottawa,41.563333,-83.361944
Clayton,OH,Ohio,Montgomery,39.855124,-84.33989
Cleveland,OH,Ohio,Cuyahoga,41.4918,-81.6757
Cleves,OH,Ohio,Hamilton,39.193707,-84.733969
Clifton,OH,Ohio,Greene,39.796944,-83.825833
Clinton,OH,Ohio,Summit,40.939062,-81.587079
Cloverdale,OH,Ohio,Putnam,41.037934,-84.29382
Clyde,OH,Ohio,Sandusky,41.302397,-82.991849
Coal Run,OH,Ohio,Washington,39.5675,-81.581389
Coalton,OH,Ohio,Jackson,39.113611,-82.611389
Coldwater,OH,Ohio,Mercer,40.484557,-84.651653
Colerain,OH,Ohio,Belmont,40.125833,-80.808889
College Corner,OH,Ohio,Butler,39.575453,-84.804951
Collins,OH,Ohio,Huron,41.245023,-82.490402
Collinsville,OH,Ohio,Butler,39.515278,-84.609444
Colton,OH,Ohio,Henry,41.464722,-83.9525
Columbia Station,OH,Ohio,Lorain,41.318708,-81.934398
Columbiana,OH,Ohio,Columbiana,40.885279,-80.697473
Columbus,OH,Ohio,Delaware,40.1444,-82.9789
Columbus,OH,Ohio,Franklin,40.105155,-83.010069
Columbus Grove,OH,Ohio,Putnam,40.91372,-84.070467
Commercial Point,OH,Ohio,Pickaway,39.768333,-83.057222
Conesville,OH,Ohio,Coshocton,40.180441,-81.895074
Conneaut,OH,Ohio,Ashtabula,41.934479,-80.580257
Conover,OH,Ohio,Miami,40.145694,-84.028297
Continental,OH,Ohio,Putnam,41.114769,-84.235778
Convoy,OH,Ohio,Van Wert,40.926998,-84.723772
Coolville,OH,Ohio,Athens,39.214131,-81.832867
Corning,OH,Ohio,Perry,39.634902,-82.097737
Cortland,OH,Ohio,Trumbull,41.325125,-80.732745
Coshocton,OH,Ohio,Coshocton,40.275412,-81.866033
Covington,OH,Ohio,Miami,40.11756,-84.349646
Creola,OH,Ohio,Vinton,39.3497,-82.493835
Crestline,OH,Ohio,Crawford,40.792714,-82.736723
Creston,OH,Ohio,Wayne,40.978846,-81.921083
Crooksville,OH,Ohio,Perry,39.762321,-82.084018
Croton,OH,Ohio,Licking,40.237603,-82.698948
Crown City,OH,Ohio,Gallia,38.613548,-82.265717
Cuba,OH,Ohio,Clinton,39.361111,-83.863889
Cumberland,OH,Ohio,Guernsey,39.874092,-81.625925
Curtice,OH,Ohio,Ottawa,41.647736,-83.285825
Custar,OH,Ohio,Wood,41.295318,-83.834919
Cutler,OH,Ohio,Washington,39.404172,-81.76573
Cuyahoga Falls,OH,Ohio,Summit,41.140082,-81.478961
Cygnet,OH,Ohio,Wood,41.247024,-83.614151
Cynthiana,OH,Ohio,Pike,39.173611,-83.348611
Dalton,OH,Ohio,Wayne,40.779326,-81.70078
Damascus,OH,Ohio,Mahoning,40.901944,-80.955278
Danville,OH,Ohio,Knox,40.455693,-82.263855
Dayton,OH,Ohio,Greene,39.765396,-84.099802
Dayton,OH,Ohio,Montgomery,39.7578,-84.1777
De Graff,OH,Ohio,Logan,40.305773,-83.9153
Decatur,OH,Ohio,Brown,38.815556,-83.703889
Deerfield,OH,Ohio,Portage,41.03586,-81.052827
Deersville,OH,Ohio,Harrison,40.3075,-81.186667
Defiance,OH,Ohio,Defiance,41.279858,-84.362583
Delaware,OH,Ohio,Delaware,40.293186,-83.072312
Dellroy,OH,Ohio,Carroll,40.586143,-81.19856
Delphos,OH,Ohio,Allen,40.833619,-84.324678
Delta,OH,Ohio,Fulton,41.557695,-83.9866
Dennison,OH,Ohio,Tuscarawas,40.408885,-81.320301
Derby,OH,Ohio,Pickaway,39.768611,-83.205833
Derwent,OH,Ohio,Guernsey,39.923056,-81.544444
Deshler,OH,Ohio,Henry,41.223945,-83.896434
Dexter City,OH,Ohio,Noble,39.652585,-81.467151
Diamond,OH,Ohio,Portage,41.093473,-81.0425
Dillonvale,OH,Ohio,Jefferson,40.212132,-80.802843
Dola,OH,Ohio,Hardin,40.787645,-83.689371
Donnelsville,OH,Ohio,Clark,39.918333,-83.948611
Dorset,OH,Ohio,Ashtabula,41.658972,-80.668334
Dover,OH,Ohio,Tuscarawas,40.534338,-81.476321
Doylestown,OH,Ohio,Wayne,40.965042,-81.684845
Dresden,OH,Ohio,Muskingum,40.112941,-82.018807
Dublin,OH,Ohio,Franklin,40.099167,-83.114167
Dunbridge,OH,Ohio,Wood,41.458056,-83.610278
Duncan Falls,OH,Ohio,Muskingum,39.877777,-81.911665
Dundee,OH,Ohio,Tuscarawas,40.639441,-81.676519
Dunkirk,OH,Ohio,Hardin,40.782375,-83.633912
Dupont,OH,Ohio,Putnam,41.100278,-84.266389
East Canton,OH,Ohio,Stark,40.784983,-81.278295
East Claridon,OH,Ohio,Geauga,41.5325,-81.115833
East Fultonham,OH,Ohio,Muskingum,39.85,-82.122222
East Liberty,OH,Ohio,Logan,40.307682,-83.586221
East Liverpool,OH,Ohio,Columbiana,40.645918,-80.578669
East Palestine,OH,Ohio,Columbiana,40.840554,-80.546513
East Rochester,OH,Ohio,Columbiana,40.756288,-81.01749
East Sparta,OH,Ohio,Stark,40.697065,-81.368728
East Springfield,OH,Ohio,Jefferson,40.450556,-80.860556
Eastlake,OH,Ohio,Lake,41.649822,-81.447887
Eaton,OH,Ohio,Preble,39.742572,-84.650849
Edgerton,OH,Ohio,Williams,41.442496,-84.734937
Edison,OH,Ohio,Morrow,40.590475,-82.902301
Edon,OH,Ohio,Williams,41.584219,-84.757002
Eldorado,OH,Ohio,Preble,39.888209,-84.678592
Elgin,OH,Ohio,Van Wert,40.7425,-84.475833
Elkton,OH,Ohio,Columbiana,40.761944,-80.698889
Ellsworth,OH,Ohio,Mahoning,41.024167,-80.8575
Elmore,OH,Ohio,Ottawa,41.468144,-83.27673
Elyria,OH,Ohio,Lorain,41.372353,-82.105088
Empire,OH,Ohio,Jefferson,40.5075,-80.624167
Englewood,OH,Ohio,Montgomery,39.873976,-84.309515
Enon,OH,Ohio,Clark,39.866282,-83.938464
Etna,OH,Ohio,Licking,39.957222,-82.681944
Euclid,OH,Ohio,Cuyahoga,41.569615,-81.525686
Evansport,OH,Ohio,Defiance,41.426111,-84.396389
Fairborn,OH,Ohio,Greene,39.805311,-84.019789
Fairfield,OH,Ohio,Butler,39.326602,-84.547881
Fairlawn,OH,Ohio,Summit,41.1365,-81.5667
Fairpoint,OH,Ohio,Belmont,40.120278,-80.933056
Fairview,OH,Ohio,Guernsey,39.901944,-81.554444
Farmdale,OH,Ohio,Trumbull,41.392301,-80.662818
Farmer,OH,Ohio,Defiance,41.383056,-84.630556
Farmersville,OH,Ohio,Montgomery,39.686684,-84.420507
Fayette,OH,Ohio,Fulton,41.671716,-84.325004
Fayetteville,OH,Ohio,Brown,39.186214,-83.950087
Feesburg,OH,Ohio,Brown,38.878333,-83.998889
Felicity,OH,Ohio,Clermont,38.826248,-84.098581
Findlay,OH,Ohio,Hancock,41.044167,-83.65
Flat Rock,OH,Ohio,Seneca,41.235833,-82.860278
Fleming,OH,Ohio,Washington,39.392806,-81.656444
Fletcher,OH,Ohio,Miami,40.152622,-84.13304
Flushing,OH,Ohio,Belmont,40.145144,-81.07573
Forest,OH,Ohio,Hardin,40.79955,-83.509771
Fort Jennings,OH,Ohio,Putnam,40.948393,-84.237381
Fort Loramie,OH,Ohio,Shelby,40.330632,-84.374131
Fort Recovery,OH,Ohio,Mercer,40.401829,-84.76125
Fostoria,OH,Ohio,Seneca,41.162346,-83.413938
Fowler,OH,Ohio,Trumbull,41.334851,-80.605894
Frankfort,OH,Ohio,Ross,39.391015,-83.203356
Franklin,OH,Ohio,Warren,39.547839,-84.305881
Franklin Furnace,OH,Ohio,Scioto,38.628216,-82.814477
Frazeysburg,OH,Ohio,Muskingum,40.131616,-82.129279
Fredericksburg,OH,Ohio,Wayne,40.685953,-81.851812
Fredericktown,OH,Ohio,Knox,40.497613,-82.585711
Freeport,OH,Ohio,Harrison,40.192502,-81.276955
Fremont,OH,Ohio,Sandusky,41.349792,-83.118095
Fresno,OH,Ohio,Coshocton,40.371126,-81.762297
Friendship,OH,Ohio,Scioto,38.697778,-83.093889
Fulton,OH,Ohio,Morrow,40.465013,-82.836244
Fultonham,OH,Ohio,Muskingum,39.855556,-82.141667
Galena,OH,Ohio,Delaware,40.191546,-82.895937
Galion,OH,Ohio,Crawford,40.730316,-82.793943
Gallipolis,OH,Ohio,Gallia,38.814781,-82.22902
Galloway,OH,Ohio,Franklin,39.936604,-83.183848
Gambier,OH,Ohio,Knox,40.378241,-82.382752
Garrettsville,OH,Ohio,Portage,41.298803,-81.070365
Gates Mills,OH,Ohio,Cuyahoga,41.532368,-81.415021
Geneva,OH,Ohio,Ashtabula,41.802864,-80.947363
Genoa,OH,Ohio,Ottawa,41.530005,-83.358984
Georgetown,OH,Ohio,Brown,38.871708,-83.909153
Germantown,OH,Ohio,Montgomery,39.6244,-84.376384
Gettysburg,OH,Ohio,Darke,40.111389,-84.495278
Gibsonburg,OH,Ohio,Sandusky,41.380474,-83.335762
Girard,OH,Ohio,Trumbull,41.161136,-80.693305
Glandorf,OH,Ohio,Putnam,41.028889,-84.079167
Glencoe,OH,Ohio,Belmont,40.008056,-80.887778
Glenford,OH,Ohio,Perry,39.869935,-82.302592
Glenmont,OH,Ohio,Holmes,40.521682,-82.150538
Glouster,OH,Ohio,Athens,39.497837,-82.087128
Gnadenhutten,OH,Ohio,Tuscarawas,40.372123,-81.405858
Gomer,OH,Ohio,Allen,40.845,-84.187222
Goshen,OH,Ohio,Clermont,39.220931,-84.118764
Grafton,OH,Ohio,Lorain,41.28537,-82.043098
Grand Rapids,OH,Ohio,Wood,41.437855,-83.855246
Grand River,OH,Ohio,Lake,41.736111,-81.281389
Granville,OH,Ohio,Licking,40.078791,-82.519399
Gratiot,OH,Ohio,Licking,39.951111,-82.216111
Gratis,OH,Ohio,Preble,39.647778,-84.527222
Graysville,OH,Ohio,Washington,39.659384,-81.189152
Graytown,OH,Ohio,Ottawa,41.527136,-83.261135
Green,OH,Ohio,Summit,40.945833,-81.483333
Green Camp,OH,Ohio,Marion,40.531944,-83.210556
Green Springs,OH,Ohio,Seneca,41.228111,-83.088549
Greenfield,OH,Ohio,Highland,39.347763,-83.389805
Greenford,OH,Ohio,Mahoning,40.943889,-80.791667
Greentown,OH,Ohio,Stark,40.9275,-81.402778
Greenville,OH,Ohio,Darke,40.098726,-84.634189
Greenwich,OH,Ohio,Huron,41.04068,-82.51334
Grelton,OH,Ohio,Henry,41.341667,-83.999722
Grove City,OH,Ohio,Franklin,39.881382,-83.083944
Groveport,OH,Ohio,Franklin,39.858137,-82.887219
Grover Hill,OH,Ohio,Paulding,41.024497,-84.495601
Guysville,OH,Ohio,Athens,39.294368,-81.926841
Gypsum,OH,Ohio,Ottawa,41.493333,-82.875833
Hallsville,OH,Ohio,Ross,39.443889,-82.827222
Hamden,OH,Ohio,Vinton,39.168497,-82.509976
Hamersville,OH,Ohio,Brown,38.919962,-83.993062
Hamilton,OH,Ohio,Butler,39.405906,-84.522117
Hamler,OH,Ohio,Henry,41.212874,-84.071989
Hammondsville,OH,Ohio,Jefferson,40.579909,-80.729918
Hannibal,OH,Ohio,Monroe,39.667222,-80.872222
Hanoverton,OH,Ohio,Columbiana,40.773116,-80.914445
Harbor View,OH,Ohio,Lucas,41.693333,-83.444444
Harlem Springs,OH,Ohio,Carroll,40.520833,-81.003333
Harpster,OH,Ohio,Wyandot,40.747541,-83.23428
Harrisburg,OH,Ohio,Franklin,39.809444,-83.171111
Harrison,OH,Ohio,Hamilton,39.259208,-84.78368
Harrisville,OH,Ohio,Harrison,40.181389,-80.887778
Harrod,OH,Ohio,Allen,40.717657,-83.943649
Hartford,OH,Ohio,Trumbull,41.311389,-80.568611
Hartville,OH,Ohio,Stark,40.961798,-81.323873
Harveysburg,OH,Ohio,Warren,39.503611,-84.010556
Haskins,OH,Ohio,Wood,41.465159,-83.705858
Haverhill,OH,Ohio,Scioto,38.584722,-82.832222
Haviland,OH,Ohio,Paulding,41.032911,-84.6139
Haydenville,OH,Ohio,Hocking,39.481944,-82.328333
Hayesville,OH,Ohio,Ashland,40.773056,-82.2625
Heath,OH,Ohio,Licking,40.019659,-82.387527
Hebron,OH,Ohio,Licking,39.953464,-82.491868
Helena,OH,Ohio,Sandusky,41.318005,-83.323184
Hicksville,OH,Ohio,Defiance,41.303378,-84.758852
Hideaway Hls,OH,Ohio,Fairfield,39.698807,-82.42548
Higginsport,OH,Ohio,Brown,38.789722,-83.9675
Highland,OH,Ohio,Highland,39.344444,-83.5975
Hilliard,OH,Ohio,Franklin,40.032187,-83.138333
Hillsboro,OH,Ohio,Highland,39.167877,-83.606406
Hinckley,OH,Ohio,Medina,41.241872,-81.74527
Hiram,OH,Ohio,Portage,41.332253,-81.14644
Hockingport,OH,Ohio,Athens,39.188056,-81.751944
Holgate,OH,Ohio,Henry,41.254859,-84.144735
Holland,OH,Ohio,Lucas,41.622629,-83.725712
Hollansburg,OH,Ohio,Darke,39.989862,-84.79008
Holloway,OH,Ohio,Belmont,40.162222,-81.132778
Holmesville,OH,Ohio,Holmes,40.633042,-81.927476
Homer,OH,Ohio,Licking,40.252778,-82.517778
Homerville,OH,Ohio,Medina,41.02669,-82.124957
Homeworth,OH,Ohio,Columbiana,40.859192,-81.065473
Hooven,OH,Ohio,Hamilton,39.178056,-84.759167
Hopedale,OH,Ohio,Harrison,40.349647,-80.902136
Hopewell,OH,Ohio,Muskingum,39.96008,-82.175619
Houston,OH,Ohio,Shelby,40.253478,-84.352109
Howard,OH,Ohio,Knox,40.415818,-82.333351
Hoytville,OH,Ohio,Wood,41.19,-83.784722
Hubbard,OH,Ohio,Trumbull,41.162401,-80.576192
Hudson,OH,Ohio,Summit,41.245836,-81.436659
Huntsburg,OH,Ohio,Geauga,41.530559,-81.057183
Huntsville,OH,Ohio,Logan,40.441295,-83.792748
Huron,OH,Ohio,Erie,41.390662,-82.555491
Iberia,OH,Ohio,Morrow,40.670278,-82.843611
Independence,OH,Ohio,Cuyahoga,41.380905,-81.66421
Irondale,OH,Ohio,Jefferson,40.511052,-80.791546
Ironton,OH,Ohio,Lawrence,38.529429,-82.665351
Irwin,OH,Ohio,Union,40.128352,-83.458699
Isle Saint George,OH,Ohio,Ottawa,41.713668,-82.819275
Jackson,OH,Ohio,Jackson,39.042821,-82.647209
Jackson Center,OH,Ohio,Shelby,40.435802,-84.045677
Jacksontown,OH,Ohio,Licking,39.959444,-82.413056
Jacksonville,OH,Ohio,Athens,39.475,-82.079167
Jacobsburg,OH,Ohio,Belmont,39.956304,-80.882181
Jamestown,OH,Ohio,Greene,39.642848,-83.750417
Jasper,OH,Ohio,Pike,39.05,-83.056667
Jefferson,OH,Ohio,Ashtabula,41.733513,-80.756166
Jeffersonville,OH,Ohio,Fayette,39.65896,-83.56873
Jenera,OH,Ohio,Hancock,40.900388,-83.725628
Jeromesville,OH,Ohio,Ashland,40.813366,-82.186134
Jerry City,OH,Ohio,Wood,41.253889,-83.604444
Jerusalem,OH,Ohio,Monroe,39.848831,-81.092088
Jewell,OH,Ohio,Defiance,41.325833,-84.285556
Jewett,OH,Ohio,Harrison,40.37446,-81.000379
Johnstown,OH,Ohio,Licking,40.14452,-82.697284
Junction City,OH,Ohio,Perry,39.696531,-82.315525
Kalida,OH,Ohio,Putnam,40.982778,-84.199444
Kansas,OH,Ohio,Seneca,41.212543,-83.329829
Keene,OH,Ohio,Coshocton,40.345,-81.868333
Kelleys Island,OH,Ohio,Erie,41.600755,-82.706811
Kensington,OH,Ohio,Columbiana,40.71418,-80.938079
Kent,OH,Ohio,Portage,41.14492,-81.34976
Kenton,OH,Ohio,Hardin,40.640433,-83.611087
Kerr,OH,Ohio,Gallia,38.872778,-82.260833
Kettlersville,OH,Ohio,Shelby,40.438889,-84.261389
Kidron,OH,Ohio,Wayne,40.740833,-81.745
Kilbourne,OH,Ohio,Delaware,40.33,-82.9575
Killbuck,OH,Ohio,Holmes,40.4933,-81.983721
Kimbolton,OH,Ohio,Guernsey,40.166544,-81.53036
Kings Mills,OH,Ohio,Warren,39.355556,-84.248611
Kingston,OH,Ohio,Ross,39.441432,-82.848808
Kingsville,OH,Ohio,Ashtabula,41.872311,-80.660092
Kinsman,OH,Ohio,Trumbull,41.435442,-80.576506
Kipling,OH,Ohio,Guernsey,39.996111,-81.500833
