person_name,title,first_name,middle_name,last_name,primary_role,all_roles,church_count,churches,church_names,city_count,cities,states,pdf_count,bulletin_count_with_date,earliest_bulletin,latest_bulletin,active_2026,active_2025,active_2024,years_active,confidence
Aaron Hoste,Deacon,Aaron,,Hoste,Deacon,Deacon,3,us-il-colona-st-patrick-divne-mercy-parish-d8cc6471; us-il-moline-sacred-heart-f364b631; us-il-silvis-our-lady-of-guadalupe-divine-mercy-parish-345998c9,Our Lady of Guadalupe; Sacred Heart; St. Patrick / Divne Mercy Parish,3,Colona; Moline; Silvis,illinois,3,0,,,False,False,False,,high
Aaron Huber,Rev.,Aaron,,Huber,Priest,Priest,1,us-nc-huntersville-st-mark-ef9248a0,St. Mark,1,Huntersville,north_carolina,1,1,2026-02-22,2026-02-22,True,False,False,2026,high
Aaron Improvement,Brother,Aaron,,Improvement,Brother,Brother,1,us-nj-iselin-st-cecelia-228dbd8a,St. Cecilia,1,Iselin,new_jersey,1,1,2026-02-01,2026-02-01,True,False,False,2026,high
Aaron Junge,Father,Aaron,,Junge,Priest,Priest,1,us-ia-cedar-rapids-all-saints-c85e0a41,All Saints,1,Cedar Rapids,iowa,1,0,,,False,False,False,,high
Aaron Keith,Dcn.,Aaron,,Keith,Deacon,Deacon,4,us-in-loogootee-saint-john-fe2e5827; us-in-loogootee-saint-joseph-9c11f846; us-in-loogootee-st-martin-hall-5dccd45d; us-in-shoals-st-marys-hall-immaculate-conception-d8eb75f5,St Martin Hall; St. John; St. Joseph; St. Mary (Immaculate Conception),2,Loogootee; Shoals,indiana,4,1,2025-06-08,2025-06-08,False,True,False,2025,high
Aaron Kendle,Bishop,Aaron,,Kendle,Bishop,Bishop,1,us-tx-san-antonio-st-peter-prince-of-apostles-df791fc8,St. Peter Prince of Apostles,1,San Antonio,texas,1,0,,,False,False,False,,high
Aaron Kuhn,Fr.,Aaron,,Kuhn,Priest,Priest,4,us-mn-avon-immaculate-conception-dd43cee3; us-mn-holdingford-church-of-all-saints-a4658789; us-mn-holdingford-church-of-st-mary-cfa70738; us-mn-saint-wendel-st-columbkille-b51e8a61,All Saints; Immaculate Conception; St. Columbkille; St. Mary,3,Avon; Holdingford; Saint Wendel,minnesota,6,1,2024-04-28,2024-04-28,False,False,True,2024,high
Aaron Kulczyk,Fr.,Aaron,,Kulczyk,Parochial Vicar,Parochial Vicar,1,us-ny-holland-st-joseph-dbf72c27,St. Joseph,1,Holland,new_york,1,0,,,False,False,False,,high
Aaron Liebert,Fr.; Rev.,Aaron,,Liebert,Priest,Priest,2,us-ca-escondido-st-mary-f848a70c; us-pa-scranton-st-michael-the-archangel-fraternity-of-st-peter-72418451,St. Mary; St. Michael the Archangel-Fraternity of St. Peter,2,Escondido; Scranton,california; pennsylvania,2,2,2023-04-16,2025-11-01,False,True,False,2023; 2025,high
Aaron M. Lynch,Rev.,Aaron,M.,Lynch,Parochial Vicar,Parochial Vicar,1,us-pa-benton-christ-the-king-26527ac6,Christ the King,1,Benton,pennsylvania,1,1,2026-03-01,2026-03-01,True,False,False,2026,high
Aaron Mariae,Br.,Aaron,,Mariae,Brother,Brother,1,us-nj-iselin-st-cecelia-228dbd8a,St. Cecilia,1,Iselin,new_jersey,1,1,2026-02-22,2026-02-22,True,False,False,2026,high
Aaron Martha,Deacon,Aaron,,Martha,Deacon,Deacon,1,us-tx-el-campo-st-philip-the-apostle-50074354,St. Philip the Apostle,1,El Campo,texas,1,1,2025-05-11,2025-05-11,False,True,False,2025,high
Aaron Mary,Brother,Aaron,,Mary,Brother,Brother,1,us-nj-iselin-st-cecelia-228dbd8a,St. Cecilia,1,Iselin,new_jersey,1,1,2026-02-01,2026-02-01,True,False,False,2026,high
Aaron Melancon,Fr.; Rev.,Aaron,,Melancon,Priest,Priest,3,us-la-lafayette-st-edmond-265c6f84; us-la-new-iberia-our-lady-of-perpetual-help-55853de8; us-la-scott-sts-peter-paul-e9e21dc8,Our Lady of Perpetual Help; St. Edmond; Sts. Peter and Paul,3,Lafayette; New Iberia; Scott,louisiana,3,0,,,False,False,False,,high
Aaron Nett,Father,Aaron,,Nett,Priest,Priest,2,us-mn-eden-valley-assumption-ba231190; us-mn-watkins-st-anthony-6e0ec223,Assumption; St. Anthony,2,Eden Valley; Watkins,minnesota,2,1,2023-06-25,2023-06-25,False,False,False,2023,high
Aaron Padilla,Dcn.; Deacon; Father; Fr.; Rev.,Aaron,,Padilla,Priest,Deacon; Priest,7,us-tx-alleyton-st-roch-catholic-church-c1d52763; us-tx-alleyton-st-roch-mentz-5450b395; us-tx-el-campo-st-philip-the-apostle-50074354; us-tx-houston-st-mary-seminary-ae7efffa; us-tx-schulenburg-st-rose-of-lima-catholic-church-061d2f0c; us-tx-victoria-capilla-santisima-trinidad-holy-trinity-mission-chapel-1ba30d5c; us-tx-victoria-our-lady-of-sorrows-6bb4c508,Capilla Santisima Trinidad [Holy Trinity Mission Chapel]; Our Lady of Sorrows; St Roch Catholic Church; St. Mary Seminary; St. Philip the Apostle; St. Roch; St. Rose of Lima,5,Alleyton; El Campo; Houston; Schulenburg; Victoria,texas,7,5,2024-05-19,2025-11-16,False,True,True,2024; 2025,high
Aaron Peters,Fr.,Aaron,,Peters,Priest,Priest,3,us-in-saint-meinrad-our-lady-of-monte-cassino-shrine-140fceea; us-in-saint-meinrad-saint-meinrad-archabbey-our-lady-of-einsiedeln-church-c5353a66; us-in-st-meinrad-archabbatial-church-of-our-lady-of-einsiedeln-758556c5,"Archabbatial Church of Our Lady of Einsiedeln; Our Lady of Monte Cassino Shrine; St. Meinrad Archabbey, Our Lady of Einsiedeln Church",2,Saint Meinrad; St. Meinrad,indiana,3,0,,,False,False,False,,high
Aaron Pfaff,Fr.,Aaron,,Pfaff,Priest,Priest,3,us-in-saint-meinrad-our-lady-of-monte-cassino-shrine-140fceea; us-in-saint-meinrad-saint-meinrad-archabbey-our-lady-of-einsiedeln-church-c5353a66; us-in-st-meinrad-archabbatial-church-of-our-lady-of-einsiedeln-758556c5,"Archabbatial Church of Our Lady of Einsiedeln; Our Lady of Monte Cassino Shrine; St. Meinrad Archabbey, Our Lady of Einsiedeln Church",2,Saint Meinrad; St. Meinrad,indiana,3,0,,,False,False,False,,high
Aaron Poyer,Deacon,Aaron,,Poyer,Deacon,Deacon,2,us-mi-detroit-most-holy-trinity-4880b312; us-mi-detroit-ste-anne-de-detroit-05fb4725,Basilica of Ste. Anne de Detroit; Most Holy Trinity,1,Detroit,michigan,2,0,,,False,False,False,,high
Aaron R. Bayles,Fr.,Aaron,R.,Bayles,Chaplain,Chaplain,1,us-ca-long-beach-st-barnabas-catholic-church-98ecb4b1,St. Barnabas Catholic Church,1,Long Beach,california,1,1,2025-07-20,2025-07-20,False,True,False,2025,high
Aaron Richardson,Fr.; Rev.,Aaron,,Richardson,Priest,Priest,4,us-in-gary-ss-monica-and-luke-45915ca5; us-in-gary-st-mary-of-the-lake-404d33f8; us-in-hobart-st-bridget-22e73aa9; us-in-portage-nativity-of-our-savior-b740cba0,Nativity of Our Savior; St. Bridget; St. Mary of the Lake; Sts. Monica and Luke,3,Gary; Hobart; Portage,indiana,4,1,2025-12-20,2025-12-20,False,True,False,2025,high
Aaron Ronnie,Dcn.,Aaron,,Ronnie,Deacon,Deacon,1,us-la-new-orleans-notre-dame-seminary-de3b5a51,Notre Dame Seminary,1,New Orleans,louisiana,1,1,2018-05-01,2018-05-01,False,False,False,2018,high
Aaron Sandbothe,Father,Aaron,,Sandbothe,Priest,Priest,1,us-sc-greer-saint-rafka-maronite-65bbf196,St. Rafka (Maronite),1,Greer,south_carolina,1,1,2025-09-07,2025-09-07,False,True,False,2025,high
Aaron Shelby,Father,Aaron,,Shelby,Priest,Priest,1,us-nc-jefferson-st-francis-of-assisi-a94e9801,St. Francis of Assisi,1,Jefferson,north_carolina,1,1,2025-04-27,2025-04-27,False,True,False,2025,high
Aaron Smith,Deacon,Aaron,,Smith,Deacon,Deacon,1,us-nj-gibbsboro-st-andrew-the-apostle-76a6b18a,St. Andrew the Apostle,1,Gibbsboro,new_jersey,1,0,,,False,False,False,,high
Aaron Stay,Father,Aaron,,Stay,Priest,Priest,1,us-mn-watkins-st-anthony-6e0ec223,St. Anthony,1,Watkins,minnesota,1,0,,,False,False,False,,high
Aaron Third,Fr.,Aaron,,Third,Priest,Priest,1,us-in-gary-ss-monica-and-luke-45915ca5,Sts. Monica and Luke,1,Gary,indiana,1,0,,,False,False,False,,high
Aaron Wessman,Fr.,Aaron,,Wessman,Priest,Priest,8,us-in-saint-meinrad-our-lady-of-monte-cassino-shrine-140fceea; us-in-saint-meinrad-saint-meinrad-archabbey-our-lady-of-einsiedeln-church-c5353a66; us-in-st-meinrad-archabbatial-church-of-our-lady-of-einsiedeln-758556c5; us-ny-hornell-our-lady-of-the-valley-paris-st-ann-41ecefc3; us-ny-hornell-saint-ann-roman-catholic-church-392232d5; us-ny-horseheads-st-mary-our-mother-07e7bedb; us-ny-rexville-our-lady-of-the-valley-parish-st-mary-7a5a5909; us-oh-riverside-st-helen-e4e772ca,"Archabbatial Church of Our Lady of Einsiedeln; Our Lady of Monte Cassino Shrine; Our Lady of the Valley Parish; Saint Ann Roman Catholic Church; St. Helen; St. Mary Our Mother; St. Marys Church; St. Meinrad Archabbey, Our Lady of Einsiedeln Church",6,Hornell; Horseheads; Rexville; Riverside; Saint Meinrad; St. Meinrad,indiana; new_york; ohio,8,2,2024-07-07,2024-07-21,False,False,True,2024,high
Aaron Williams,Dcn.; Fr.,Aaron,,Williams,Priest,Deacon; Priest,3,us-la-berwick-st-stephen-8e9f3595; us-la-new-orleans-notre-dame-seminary-de3b5a51; us-ms-brookhaven-st-francis-of-assisi-38b966f8,Notre Dame Seminary; St. Francis of Assisi; St. Stephen,3,Berwick; Brookhaven; New Orleans,louisiana; mississippi,3,3,2018-05-01,2025-03-01,False,True,True,2018; 2024; 2025,high
Aaron Woodson,Fr.,Aaron,,Woodson,Priest,Priest,1,us-in-gary-ss-monica-and-luke-45915ca5,Sts. Monica and Luke,1,Gary,indiana,1,0,,,False,False,False,,high
Abbie Nepomuceno,Dcn.,Abbie,,Nepomuceno,Deacon,Deacon,1,us-ca-san-francisco-st-thomas-more-4d152895,St. Thomas More,1,San Francisco,california,1,1,2024-07-01,2024-07-01,False,False,True,2024,high
Abbot Anderson,Father,Abbot,,Anderson,Priest,Priest,1,us-de-wilmington-st-joseph-848db885,St. Joseph,1,Wilmington,delaware,1,1,2022-09-18,2022-09-18,False,False,False,2022,high
Abbot Charles,Fr.,Abbot,,Charles,Priest,Priest,2,us-ma-canton-church-of-st-gerard-majella-ca698845; us-ma-canton-st-oscar-romero-eb31aebb,St. Gerard Majella; St. John the Evangelist,1,Canton,massachusetts,2,0,,,False,False,False,,high
Abbot Edmond,Rev.,Abbot,,Edmond,Priest,Priest,1,us-mi-clinton-township-saint-sharbel-maronite-37ab7d5e,St. Sharbel (Maronite),1,Clinton Township,michigan,1,1,2025-06-08,2025-06-08,False,True,False,2025,high
Abbot Elijah,Father,Abbot,,Elijah,Priest,Priest,1,us-ar-fort-smith-st-scholastica-monastery-866a149d,St. Scholastica Monastery,1,Fort Smith,arkansas,1,1,2024-09-01,2024-09-01,False,False,True,2024,high
Abbot Kurt,Fr.,Abbot,,Kurt,Priest,Priest,3,us-in-saint-meinrad-our-lady-of-monte-cassino-shrine-140fceea; us-in-saint-meinrad-saint-meinrad-archabbey-our-lady-of-einsiedeln-church-c5353a66; us-in-st-meinrad-archabbatial-church-of-our-lady-of-einsiedeln-758556c5,"Archabbatial Church of Our Lady of Einsiedeln; Our Lady of Monte Cassino Shrine; St. Meinrad Archabbey, Our Lady of Einsiedeln Church",2,Saint Meinrad; St. Meinrad,indiana,3,0,,,False,False,False,,high
Abbot Lambert,Fr.,Abbot,,Lambert,Priest,Priest,1,us-ky-owensboro-blessed-sacrament-chapel-d10a9861,Chapel of the Blessed Sacrament,1,Owensboro,kentucky,1,1,2025-10-01,2025-10-01,False,True,False,2025,high
Abbot Peter,Rev.,Abbot,,Peter,Priest,Priest,1,us-tx-garland-st-michael-4e9c5803,St. Michael the Archangel,1,Garland,texas,1,0,,,False,False,False,,high
Abbot Snow,Rev.,Abbot,,Snow,Priest,Priest,1,us-ca-portola-holy-family-91cb6827,Holy Family,1,Portola,california,1,0,,,False,False,False,,high
Abbot Vincent,Reverend,Abbot,,Vincent,Priest,Priest,1,us-ma-weston-pope-st-john-xxiii-national-seminary-8d6de817,Pope St. John XXIII National Seminary,1,Weston,massachusetts,1,0,,,False,False,False,,high
Abbott Patrick,Fr.,Abbott,,Patrick,Priest,Priest,1,us-fl-coral-gables-church-of-the-little-flower-0ead21df,Little Flower,1,Coral Gables,florida,1,1,2024-03-20,2024-03-20,False,False,True,2024,high
Abby Avelino,Sister,Abby,,Avelino,Sister,Sister,1,us-il-melrose-park-our-lady-of-mount-carmel-7b57255c,Our Lady of Mount Carmel,1,Melrose Park,illinois,1,1,2026-02-02,2026-02-02,True,False,False,2026,high
Abdallah Elias,Bishop,Abdallah,,Elias,Bishop,Bishop,1,us-nv-las-vegas-saint-sharbel-maronite-fe1c7981,Mission of St. Sharbel (Maronite),1,Las Vegas,nevada,1,0,,,False,False,False,,high
Abdallah Ramey,Fr.,Abdallah,,Ramey,Priest,Priest,1,us-ma-lawrence-saint-anthony-maronite-b386c8dc,St. Anthony (Maronite),1,Lawrence,massachusetts,1,1,2026-01-01,2026-01-01,True,False,False,2026,high
Abdias Gonzalez,Fr.,Abdias,,Gonzalez,Priest,Priest,1,us-ca-long-beach-st-barnabas-catholic-church-98ecb4b1,St. Barnabas Catholic Church,1,Long Beach,california,1,1,2025-07-20,2025-07-20,False,True,False,2025,high
Abdo Abou,Father,Abdo,,Abou,Priest,Priest,1,us-nv-las-vegas-saint-sharbel-maronite-fe1c7981,Mission of St. Sharbel (Maronite),1,Las Vegas,nevada,1,0,,,False,False,False,,high
Abdo Badawi,Father,Abdo,,Badawi,Priest,Priest,1,us-ct-torrington-saint-maron-maronite-7b7374f5,St. Maron (Maronite),1,Torrington,connecticut,1,0,,,False,False,False,,high
Abdullah Elias,Rev.,Abdullah,,Elias,Priest,Priest,1,us-nv-las-vegas-saint-sharbel-maronite-fe1c7981,Mission of St. Sharbel (Maronite),1,Las Vegas,nevada,1,0,,,False,False,False,,high
Abe Angela,Fr.,Abe,,Angela,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2024-04-20,2024-04-20,False,False,True,2024,high
Abe Anna,Fr.,Abe,,Anna,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2024-10-20,2024-10-20,False,False,True,2024,high
Abe Annabel,Fr.,Abe,,Annabel,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2024-12-20,2024-12-20,False,False,True,2024,high
Abe Antonio,Fr.,Abe,,Antonio,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2024-04-20,2024-04-20,False,False,True,2024,high
Abe Beatriz,Fr.,Abe,,Beatriz,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2024-10-20,2024-10-20,False,False,True,2024,high
Abe Beth,Fr.,Abe,,Beth,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2024-12-20,2024-12-20,False,False,True,2024,high
Abe Bob,Fr.,Abe,,Bob,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2025-05-20,2025-05-20,False,True,False,2025,high
Abe Bryson,Fr.,Abe,,Bryson,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2024-09-20,2024-09-20,False,False,True,2024,high
Abe But,Fr.,Abe,,But,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2024-05-20,2024-05-20,False,False,True,2024,high
Abe Canal,Fr.,Abe,,Canal,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2024-05-20,2024-05-20,False,False,True,2024,high
Abe Cecilio,Fr.,Abe,,Cecilio,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2024-12-20,2024-12-20,False,False,True,2024,high
Abe Col,Fr.,Abe,,Col,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2024-06-20,2024-06-20,False,False,True,2024,high
Abe Cuellar,Fr.,Abe,,Cuellar,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2025-11-11,2025-11-11,False,True,False,2025,high
Abe Dana,Fr.,Abe,,Dana,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2024-06-20,2024-06-20,False,False,True,2024,high
Abe Elizabeth,Fr.,Abe,,Elizabeth,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2024-05-20,2024-05-20,False,False,True,2024,high
Abe Eric,Fr.,Abe,,Eric,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2025-11-11,2025-11-11,False,True,False,2025,high
Abe Esper,Fr.,Abe,,Esper,Priest,Priest,1,us-ny-chadwicks-st-patrick-st-anthony-669e78e3,St. Patrick–St. Anthony,1,Chadwicks,new_york,1,1,2024-02-11,2024-02-11,False,False,True,2024,high
Abe Esther,Fr.,Abe,,Esther,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2024-12-20,2024-12-20,False,False,True,2024,high
Abe Eunice,Fr.,Abe,,Eunice,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2025-02-01,2025-02-01,False,True,False,2025,high
Abe Every,Fr.,Abe,,Every,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2025-01-20,2025-01-20,False,True,False,2025,high
Abe Ewan,Fr.,Abe,,Ewan,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2024-09-20,2024-09-20,False,False,True,2024,high
Abe Flora,Fr.,Abe,,Flora,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2024-05-20,2024-05-20,False,False,True,2024,high
Abe Frances,Fr.,Abe,,Frances,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2024-08-20,2024-08-20,False,False,True,2024,high
Abe Frank,Fr.,Abe,,Frank,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2025-11-11,2025-11-11,False,True,False,2025,high
Abe Fred,Fr.,Abe,,Fred,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2024-09-20,2024-09-20,False,False,True,2024,high
Abe Guillermo,Fr.,Abe,,Guillermo,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2025-02-20,2025-02-20,False,True,False,2025,high
Abe Harold,Fr.,Abe,,Harold,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2024-04-20,2024-04-20,False,False,True,2024,high
Abe Harry,Fr.,Abe,,Harry,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2024-09-20,2024-09-20,False,False,True,2024,high
Abe Helen,Fr.,Abe,,Helen,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2024-12-20,2024-12-20,False,False,True,2024,high
Abe Hunter,Fr.,Abe,,Hunter,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2024-12-20,2024-12-20,False,False,True,2024,high
Abe James,Fr.,Abe,,James,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2024-12-20,2024-12-20,False,False,True,2024,high
Abe Jane,Fr.,Abe,,Jane,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2024-12-20,2024-12-20,False,False,True,2024,high
Abe Jean,Fr.,Abe,,Jean,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2025-01-20,2025-01-20,False,True,False,2025,high
Abe Jeanette,Fr.,Abe,,Jeanette,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2024-10-20,2024-10-20,False,False,True,2024,high
Abe Jerry,Fr.,Abe,,Jerry,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2025-06-20,2025-06-20,False,True,False,2025,high
Abe Jimmy,Fr.,Abe,,Jimmy,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2025-02-01,2025-02-01,False,True,False,2025,high
Abe Jose,Fr.,Abe,,Jose,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2024-08-20,2024-08-20,False,False,True,2024,high
Abe Kate,Fr.,Abe,,Kate,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2024-08-20,2024-08-20,False,False,True,2024,high
Abe Keith,Fr.,Abe,,Keith,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2024-05-20,2024-05-20,False,False,True,2024,high
Abe Lena,Fr.,Abe,,Lena,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2024-10-20,2024-10-20,False,False,True,2024,high
Abe Lisa,Fr.,Abe,,Lisa,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2025-05-20,2025-05-20,False,True,False,2025,high
Abe Lucy,Fr.,Abe,,Lucy,Priest,Priest,1,us-tx-san-antonio-our-lady-of-grace-7150f997,Our Lady of Grace,1,San Antonio,texas,1,1,2024-12-20,2024-12-20,False,False,True,2024,high
