Church,Address,Phone,Communities Served,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Other,Mon,8:00 AM,,{Type},weekday,English,Church,,,,,note: Monday; Wednesday; Thursday; Friday
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Other,Tue,5:00 PM,6:00 PM,{Type},specific_weekday,English,Church,,,,,confession
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Other,Tue,5:00 PM,6:00 PM,{Type},specific_weekday,English,Church,,,,,exposition
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Other,Tue,6:30 PM,,{Type},weekday,English,Church,,,,,note: Tuesday; livestream; ad orientem
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Other,Wed,8:00 AM,,{Type},weekday,English,Church,,,,,note: Monday; Wednesday; Thursday; Friday
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Other,Wed,8:30 AM,,{Type},specific_weekday,English,Church,,,,,confession
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Other,Thu,7:00 PM,,{Type},specific_weekday,English,Church,,,,,confession
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Other,Thu,8:00 AM,,{Type},weekday,English,Church,,,,,note: Monday; Wednesday; Thursday; Friday
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Other,Fri,5:00 PM,,{Type},specific_weekday,English,Church,,,,,confession
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Other,Fri,7:00 PM,8:00 PM,{Type},specific_weekday,English,Church,,,,,note: Stations of the Cross during Lent
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Other,Fri,8:00 AM,,{Type},weekday,English,Church,,,,,note: Monday; Wednesday; Thursday; Friday
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Other,Sat,4:00 PM,,{Type},saturday,English,Church,,,,,tags: vigil
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Other,Sat,8:00 AM,,{Type},saturday,English,Church,,,,,tags: livestream; ad orientem
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Other,Sat,8:30 AM,9:30 AM,{Type},saturday,English,Church,,,,,tags: confession
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Other,Sat,8:30 AM,9:30 AM,{Type},saturday,English,Church,,,,,tags: exposition
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Other,Sun,11:00 AM,,{Type},sunday,English,Church,,,,,
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Other,Sun,4:00 PM,4:30 PM,{Type},sunday,English,Church,,,,,note: Liturgy of the Hours
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Other,Sun,7:15 AM,,{Type},sunday,English,Church,,,,,tags: livestream; ad orientem
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Other,Sun,8:30 AM,,{Type},sunday,English,Church,,,,,
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Other,Sun,9:30 AM,,{Type},sunday,English,Church,,,,,tags: confession
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Other,,12:00 PM,,May Crowning,special_event,English,Church,,2026-05-10,,,Crowning
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Other,,3:00 PM,,Good Friday Service,special_event,English,Church,,2026-04-03,,,Good Friday Service
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Other,,3:00 PM,4:00 PM,Fish Fry Prep,parish_event,English,Kitchen,,,,,note: recurring during Lent
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Other,,4:30 PM,7:00 PM,Fish Fry,parish_event,English,Kitchen,,,,,note: recurring during Lent
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Other,,6:30 PM,8:00 PM,Boy Scout Troop 25,parish_event,English,,,,,,
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Other,,7:00 PM,8:30 PM,Adult Study,parish_event,English,,,,,,
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Other,,8:00 AM,,Liturgy of the Hours,special_event,English,Church,,2026-04-02,,,Liturgy of the Hours
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Other,,8:00 AM,,Liturgy of the Hours,special_event,English,Church,,2026-04-03,,,Liturgy of the Hours
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Other,,8:00 AM,,Liturgy of the Hours,special_event,English,Church,,2026-04-04,,,Liturgy of the Hours
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Other,,8:30 AM,6:00 PM,{Type},monthly,English,Church,first_friday_(recurring),,,,tags: exposition
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Other,,9:00 AM,,Blessing of Baskets,special_event,English,,,2026-04-04,,,Blessing of Baskets
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Other,,9:00 AM,3:00 PM,Fish Fry Delivery,parish_event,English,Kitchen,,,,,note: recurring during Lent
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Other,,9:30 AM,10:45 AM,Parish Youth Catechesis,parish_event,English,Kitchen,,,,,
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Sacraments,,12:00 PM,2:00 PM,Confirmation/Youth Group,parish_event,English,,,,,,
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Sacraments,,1:30 PM,,First Communion,special_event,English,Church,,2026-04-26,,,First Communion
Ascension,"555 S Main St, Johnstown, Ohio 43031-1231",(740) 967-7871,Canal Winchester; Groveport; Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Sacraments,,6:00 PM,,"Baptism - Ava Grace Fox, Albany Michelle Fox, Benjamin Fox",special_event,English,Church,,2026-03-05,,,"Baptism - Ava Grace Fox, Albany Michelle Fox, Benjamin Fox"
Christ The King Chapel--Ohio Dominican University,"1216 Sunbury Rd (Sansbury Hall), Columbus, Ohio 43219",(614) 251-4567,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,Sun,7:00 PM,,Mass,sunday,English,Chapel,,,,,
Christ The King Chapel--Ohio Dominican University,"1216 Sunbury Rd (Sansbury Hall), Columbus, Ohio 43219",(614) 251-4567,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Other,Sun,6:00 PM,7:00 PM,Music Ministry Rehearsal,other,English,,,,,,weekly; music
Christ the King,"2777 E Livingston Ave, Columbus, Ohio 43209-3039",(614) 237-0401,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,Mon,6:45 AM,,Mass,weekday,english,Christ the King,,,,,
Christ the King,"2777 E Livingston Ave, Columbus, Ohio 43209-3039",(614) 237-0401,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,Mon,8:30 AM,,Mass,specific_weekday,english,St. Thomas,,,,,
Christ the King,"2777 E Livingston Ave, Columbus, Ohio 43209-3039",(614) 237-0401,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,Tue,6:45 AM,,Mass,weekday,english,Christ the King,,,,,
Christ the King,"2777 E Livingston Ave, Columbus, Ohio 43209-3039",(614) 237-0401,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,Wed,6:45 AM,,Mass,weekday,english,Christ the King,,,,,
Christ the King,"2777 E Livingston Ave, Columbus, Ohio 43209-3039",(614) 237-0401,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,Wed,7:00 PM,,Mass,specific_weekday,spanish,Christ the King,,,,,
Christ the King,"2777 E Livingston Ave, Columbus, Ohio 43209-3039",(614) 237-0401,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,Thu,6:45 AM,,Mass,weekday,english,Christ the King,,,,,
Christ the King,"2777 E Livingston Ave, Columbus, Ohio 43209-3039",(614) 237-0401,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,Thu,7:00 PM,,Mass,specific_weekday,spanish,Christ the King,,,,,
Christ the King,"2777 E Livingston Ave, Columbus, Ohio 43209-3039",(614) 237-0401,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,Fri,6:45 AM,,Mass,weekday,english,Christ the King,,,,,
Christ the King,"2777 E Livingston Ave, Columbus, Ohio 43209-3039",(614) 237-0401,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,Sat,4:00 PM,,Mass,saturday,english,Christ the King,,,,,vigil
Christ the King,"2777 E Livingston Ave, Columbus, Ohio 43209-3039",(614) 237-0401,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,Sat,6:00 PM,,Mass,saturday,spanish,Christ the King,,,,,vigil
Christ the King,"2777 E Livingston Ave, Columbus, Ohio 43209-3039",(614) 237-0401,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,Sun,10:00 AM,,Mass,sunday,english,Christ the King,,,,,
Christ the King,"2777 E Livingston Ave, Columbus, Ohio 43209-3039",(614) 237-0401,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,Sun,12:30 PM,,Mass,sunday,spanish,Christ the King,,,,,
Christ the King,"2777 E Livingston Ave, Columbus, Ohio 43209-3039",(614) 237-0401,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,,9:00 AM,,Mass,special_event,English,Christ the King,,2026-07-04,,,Mass
Christ the King,"2777 E Livingston Ave, Columbus, Ohio 43209-3039",(614) 237-0401,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Confession,Wed,6:00 PM,7:00 PM,Confession,specific_weekday,bilingual,Christ the King,,,,,
Christ the King,"2777 E Livingston Ave, Columbus, Ohio 43209-3039",(614) 237-0401,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Confession,Fri,4:30 PM,6:00 PM,Confession,specific_weekday,bilingual,Christ the King,,,,,
Christ the King,"2777 E Livingston Ave, Columbus, Ohio 43209-3039",(614) 237-0401,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Confession,Sat,5:00 PM,6:00 PM,Confession,saturday,bilingual,Christ the King,,,,,
Christ the King,"2777 E Livingston Ave, Columbus, Ohio 43209-3039",(614) 237-0401,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Adoration,Wed,6:00 PM,7:00 PM,Adoration,specific_weekday,English,Christ the King,,,,,
Christ the King,"2777 E Livingston Ave, Columbus, Ohio 43209-3039",(614) 237-0401,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Adoration,Fri,4:00 PM,6:00 PM,Adoration,specific_weekday,English,Christ the King,,,,,
Christ the King,"2777 E Livingston Ave, Columbus, Ohio 43209-3039",(614) 237-0401,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Adoration,,8:00 PM,9:00 PM,Adoration,monthly,English,Christ the King,last_thursday,,,,Thursday (before First Friday); Last Thursday
Community of the Holy Rosary and St. John,"648 S Ave, Columbus, Ohio 43205-2799",16142525926,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Other,,10:00 AM,3:00 PM,All Hands on Deck Resource Fair,parish_event,English,St. John Community Center,,,,,", 2024; 640 S. Ohio Ave.; Columbus"
Community of the Holy Rosary and St. John,"648 S Ave, Columbus, Ohio 43205-2799",16142525926,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Other,,10:00 AM,2:00 PM,Job Fair,parish_event,English,St. John Community Center,,,,,", 2025; 640 South Ohio Ave."
