Date,Date Sort,Day,Church,Address,Phone,Communities Served,Category,Time,End Time,Service Name,Language,Location,Notes
"Fri, Feb 20, 2026",2026-02-20,Friday,Sacred Heart Church,"893 Hamlet St, Columbus",(614) 294-5319,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,7:00 PM,,Mass,English,Sacred Heart,
"Fri, Feb 20, 2026",2026-02-20,Friday,Seton Parish,"600 Hill Rd N, Pickerington",(614) 833-0482,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,8:30 AM,,Public Mass,English,,livestream
"Fri, Feb 20, 2026",2026-02-20,Friday,St Edward the Confessor,"785 Newark-Granville Rd, Granville",(740) 587-3254,Canal Winchester,Mass,9:00 AM,,Mass,English,Church of St. Edward the Confessor,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Agatha,"1860 Northam Rd, Upper Arlington",(614) 488-6149,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,8:00 AM,,Mass,English,,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Agnes,"2364 W Mound St, Columbus",(614) 276-5413,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,7:00 PM,,Mass,spanish,,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Andrew Catholic Church Parish Office,"1899 McCoy Rd, Columbus",+1-614-451-4290,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,6:30 AM,,Mass,english,St. Andrew,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Andrew Catholic Church Parish Office,"1899 McCoy Rd, Columbus",(614) 451-4290,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,6:30 AM,,Mass,English,,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Andrew Catholic Church Parish Office,"1899 McCoy Rd, Columbus",+1-614-451-4290,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,8:30 AM,,Mass,english,St. Andrew,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Andrew Catholic Church Parish Office,"1899 McCoy Rd, Columbus",(614) 451-4290,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,8:30 AM,,Mass,English,,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Bernadette,"1343 Wheeling Rd, Lancaster",(740) 654-1893,Canal Winchester; Groveport,Mass,8:20 AM,,Mass,english,St. Bernadette,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Brendan the Navigator,"4475 Dublin Rd, Hilliard",(614) 876-1272,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,6:30 AM,,Mass,English,,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Brendan the Navigator,"4475 Dublin Rd, Hilliard",(614) 876-1272,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,8:00 AM,,Mass,English,,"Tue, Thu, Fri; livestream on Tue; Thu; Fri"
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Brigid of Kildare,"7179 Avery Rd, Dublin",(614) 761-3734,Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,9:00 AM,,Mass,English,St. Brigid of Kildare Church,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Catharine,"500 S Gould Rd, Columbus",(614) 231-4509,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,8:00 AM,,Mass,english,St. Catharine,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Cecilia,"434 Norton Rd, Columbus",(614) 878-5353,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,8:15 AM,,Mass,English,,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Christopher,"1420 Grandview Ave, Columbus",614-754-8888,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,4:00 PM,,Mass,english,,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Dominic,"451 N 20th St, Columbus",(614) 252-5926,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,10:00 AM,,Mass,english,In the Church,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Francis of Assisi,"386 Buttles Ave, Columbus",(614) 299-5781,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,6:00 PM,,Mass,English,St. Francis of Assisi,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. James the Less,"1652 Oakland Park Ave, Columbus",(614) 262-1179,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,8:30 AM,,Mass,English,Church,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Joan of Arc,"10700 Liberty Rd S, Powell",(614) 761-0905,Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,8:30 AM,,Mass,English,St. Joan of Arc,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. John Chrysostom (Ruthenian),"5858 Cleveland Ave, Columbus",(614) 882-7578,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,6:00 PM,,Divine Liturgy,English,,tags
"Fri, Feb 20, 2026",2026-02-20,Friday,St. John Neumann,"9633 E State Rt 37, Sunbury",(740) 965-1358,Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,11:00 AM,,Mass,english,,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. John XXIII,"5170 Winchester Southern Rd NW, Canal Winchester",(614) 920-1563,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,8:30 AM,,Mass,English,St. John XXIII Church,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Joseph,"140 W Ave, Plain City",(614) 873-8850,Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,8:00 AM,,Mass,English,Church,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Joseph Cathedral,"212 E Broad St, Columbus",(614) 224-1295,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,12:05 PM,,Mass,english,St. Joseph Cathedral,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Josephine Bakhita Parish,"6077 Sharon Woods Blvd, Columbus",(614) 891-0150,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,8:30 AM,,Mass,English,,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Leonard,"57 Dorsey Mill Rd, Heath",17405225270,Canal Winchester,Mass,9:00 AM,,Mass,English,,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Margaret of Cortona,"1600 N Hague Ave, Columbus",(614) 279-1690,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,9:00 AM,,Mass,english,,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Mary,"82 E William St, Delaware",(740) 363-4641,Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,8:15 AM,,Mass,English,,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Mary,"5684 Rd, Groveport",16144971324,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,8:30 AM,,Mass,English,St. Mary,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Mary Magdalene,"473 S Roys Ave, Columbus",(614) 274-1121,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,7:00 PM,,Mass,spanish,St. Mary Magdalene,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Mary Magdalene,"473 S Roys Ave, Columbus",(614) 274-1121,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,8:30 AM,,Mass,english,St. Mary Magdalene,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Mary of the Assumption,"684 S 3rd St, Columbus",(614) 445-9668,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,8:30 AM,,Mass,English,St. Mary,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Matthias,"1582 Ferris Rd, Columbus",16142673406,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,8:30 AM,,Mass,English,,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Michael the Archangel,"5750 N High St, Worthington",614-885-7814,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,6:30 AM,,Mass,English,,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Michael the Archangel,"5750 N High St, Worthington",614-885-7814,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,8:15 AM,,Mass,English,,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Patrick,"280 N Grant Ave, Columbus",(614) 240-5910,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,11:45 AM,,Mass,English,St. Patrick Church,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Patrick,"280 N Grant Ave, Columbus",(614) 240-5910,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,7:00 AM,,Mass,English,St. Patrick Church,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Patrick,"61 S Union St, London",(740) 852-0942,Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,8:00 AM,,Mass,English,,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Paul the Apostle,"313 N State St, Westerville",(614) 882-2109,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,6:30 AM,,Mass,English,,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Paul the Apostle,"313 N State St, Westerville",(614) 882-2109,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,8:15 AM,,Mass,English,,livestream
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Peter,"6899 Smoky Row Rd, Columbus",(614) 761-0905,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,5:30 PM,,Mass,english,St. Peter,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Peter,"6899 Smoky Row Rd, Columbus",(614) 761-0905,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,7:00 PM,,Mass,spanish,St. Peter,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Pius X,"1051 Waggoner Rd, Reynoldsburg",(614) 866-2859,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,8:30 AM,,Mass,english,,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Thomas More Newman Center (Ohio St. Univ.),"64 W Lane Ave, Columbus",(614) 291-4674,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,5:45 PM,,Mass,English,St. Thomas More Newman Center,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Thomas More Newman Center (Ohio St. Univ.),"64 W Lane Ave, Columbus",(614) 291-4674,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,7:45 AM,,Mass,English,St. Thomas More Newman Center,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Timothy,"1088 Thomas Ln, Columbus",(614) 451-2671,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,9:00 AM,,Mass,English,,livestream
"Fri, Feb 20, 2026",2026-02-20,Friday,Sts. Augustine and Gabriel,"1550 E Hudson St, Columbus",(614) 268-3123,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Mass,9:00 AM,,Mass,english,,
"Fri, Feb 20, 2026",2026-02-20,Friday,The Basilica of St. Mary of the Assumption,"132 S High St, Lancaster",(740) 653-0997,Canal Winchester; Groveport,Mass,9:00 AM,,Mass,english,Basilica of St. Mary of the Assumption,note: Tue; Fri
"Fri, Feb 20, 2026",2026-02-20,Friday,Christ the King,"2777 E Livingston Ave, Columbus",(614) 237-0401,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Confession,4:30 PM,6:00 PM,Confession,bilingual,Christ the King,
"Fri, Feb 20, 2026",2026-02-20,Friday,Holy Family,"584 W Broad St, Columbus",(614) 221-4323,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Confession,11:30 AM,,Confession,English,Holy Family Church,note: until Mass
"Fri, Feb 20, 2026",2026-02-20,Friday,Immaculate Conception Church,"414 E N Broadway, Columbus",(614) 267-9241,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Confession,9:15 AM,9:45 AM,Confessions,English,,Following the 08:30 Mass and by appointment
"Fri, Feb 20, 2026",2026-02-20,Friday,Oratory of St. Leo,"221 Hanford St, Columbus",614-443-7685,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Confession,11:30 AM,,Confession,English,,
"Fri, Feb 20, 2026",2026-02-20,Friday,Our Lady of Mount Carmel,"5133 Walnut Rd SE, Buckeye Lake",(740) 928-3266,Canal Winchester; Groveport,Confession,9:00 AM,12:00 PM,Confession,English,,
"Fri, Feb 20, 2026",2026-02-20,Friday,Sacred Heart Church,"893 Hamlet St, Columbus",(614) 294-5319,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Confession,6:00 PM,7:00 PM,Confession,English,Sacred Heart,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Christopher,"1420 Grandview Ave, Columbus",614-754-8888,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Confession,3:15 PM,4:00 PM,Confession,English,,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Francis of Assisi,"386 Buttles Ave, Columbus",(614) 299-5781,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Confession,5:00 PM,6:00 PM,Confession,English,St. Francis of Assisi,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Joan of Arc,"10700 Liberty Rd S, Powell",(614) 761-0905,Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Confession,9:00 AM,,Confession,English,Saint Joan of Arc Campus,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Joan of Arc,"10700 Liberty Rd S, Powell",(614) 761-0905,Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Confession,TBD,,Confession,English,Saint Joan of Arc Campus,after the Mass
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Patrick,"280 N Grant Ave, Columbus",(614) 240-5910,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Confession,12:15 PM,,Confession,English,St. Patrick Church,note: until done; except Holy Days and Civic Holidays
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Peter,"6899 Smoky Row Rd, Columbus",(614) 761-0905,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Confession,6:00 PM,,Confession,English,St. Peter Campus,afterward 17:30 Mass
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Pius X,"1051 Waggoner Rd, Reynoldsburg",(614) 866-2859,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Confession,8:00 AM,8:20 AM,Confession,English,,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Thomas More Newman Center (Ohio St. Univ.),"64 W Lane Ave, Columbus",(614) 291-4674,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Confession,4:30 PM,5:30 PM,Confession,English,St. Thomas More Newman Center,
"Fri, Feb 20, 2026",2026-02-20,Friday,St. Thomas More Newman Center (Ohio St. Univ.),"64 W Lane Ave, Columbus",(614) 291-4674,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,Confession,8:15 AM,8:45 AM,Confession,English,St. Thomas More Newman Center,
