slug,name,street,city,state_region,latitude,longitude,phone,website,mass_count,confession_count,adoration_count,has_perpetual_adoration,serving_communities,source_url,last_scraped
us-oh-columbus-our-lady-of-guadalupe-star-of-the-new-evangelization-parish-508bc23a,"Our Lady of Guadalupe, Star of the New Evangelization",154 E Patterson Ave,Columbus,Ohio,40.01005858,-83.00610858,(614) 262-0390,http://olgstar.org/,12,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-our-lady-of-peace-d9c1f88e,Our Lady of Peace,20 E Dominion Blvd,Columbus,Ohio,40.05402429,-83.0195361,(614) 263-8824,http://www.olp-parish.org/,7,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-our-lady-of-victory-16ae774d,Our Lady of Victory,1559 Roxbury Rd,Columbus,Ohio,39.9870148,-83.06172,(614) 488-2428,https://ourladyofvictory.cc,12,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-our-lady-of-the-miraculous-medal-e2705436,Our Lady of the Miraculous Medal,5225 Refugee Rd,Columbus,Ohio,39.9204435,-82.85043903,(614) 861-1242,http://www.churchofourladycolumbus.org/,1,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-pontifical-college-josephinum-8336366f,Pontifical College Josephinum,7625 N High St,Columbus,Ohio,40.1200625,-83.0184375,16148855585,https://www.pcj.edu/,0,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-sacred-heart-church-f7faa08d,Sacred Heart Church,893 Hamlet St,Columbus,Ohio,39.98092297,-82.99984446,(614) 294-5319,http://www.sacredheartchurchcolumbus.org/,12,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-st-agnes-527e1a71,St. Agnes,2364 W Mound St,Columbus,Ohio,39.93935717,-83.06070285,(614) 276-5413,http://columbuscatholic.org/st-agnes,10,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-saint-aloysius-ca20c757,St. Aloysius,2165 W Broad St,Columbus,Ohio,39.95542476,-83.05823,(614) 276-6587,http://saintals.life/,3,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-st-andrew-catholic-church-parish-office-8657340b,St. Andrew Catholic Church Parish Office,1899 McCoy Rd,Columbus,OH,40.0404121,-83.0680598,+1-614-451-4290,https://www.standrewparish.cc/,19,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-saint-andrew-roman-catholic-church-9a991d45,St. Andrew Catholic Church Parish Office,1899 McCoy Rd,Columbus,Ohio,40.04043754,-83.06819534,(614) 451-4290,https://www.standrewparish.cc,35,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-church-of-st-anthony-3b22b061,St. Anthony,1300 Urban Dr,Columbus,Ohio,40.0676875,-82.9835625,16148854857,http://www.stanthonyparishcolumbus.org,0,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-st-catharine-of-siena-4b493a4f,St. Catharine,500 S Gould Rd,Columbus,Ohio,39.96075868,-82.92349035,(614) 231-4509,https://www.stcatharine.com/,11,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-saint-cecilia-3e50952b,St. Cecilia,434 Norton Rd,Columbus,Ohio,39.94233321,-83.14154768,(614) 878-5353,https://www.saintceciliachurch.org/,9,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-saint-christopher-fa038fd1,St. Christopher,1420 Grandview Ave,Columbus,Ohio,39.98690834,-83.04402758,614-754-8888,http://saintchristophercc.com/,9,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-st-dominic-catholic-church-8a6c4e13,St. Dominic,451 N 20th St,Columbus,Ohio,39.97479377,-82.97348227,(614) 252-5926,https://www.stdominic-church.org,3,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-saint-francis-of-assisi-e905cd6e,St. Francis of Assisi,386 Buttles Ave,Columbus,Ohio,39.97790885,-83.0142864,(614) 299-5781,http://sfacolumbus.org/,8,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-st-james-the-less-1c5ee569,St. James the Less,1652 Oakland Park Ave,Columbus,Ohio,40.03193614,-82.96947136,(614) 262-1179,https://stjames-cpps.org,14,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-saint-john-chrysostom-ruthenian-8bc80350,St. John Chrysostom (Ruthenian),5858 Cleveland Ave,Columbus,Ohio,40.09090477,-82.9506196,(614) 882-7578,https://byzantinecolumbus.com/,13,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-saint-john-the-baptist-00e8efb2,St. John the Baptist,720 Hamlet St,Columbus,Ohio,39.97747339,-82.99904968,(614) 294-5319,https://www.sjbitalianachurch.com,9,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-saint-joseph-cathedral-5ab6bb17,St. Joseph Cathedral,212 E Broad St,Columbus,Ohio,39.96324492,-82.99466251,(614) 224-1295,https://sjchcc.org/,8,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-st-josephine-bakhita-parish-db5b0b75,St. Josephine Bakhita Parish,6077 Sharon Woods Blvd,Columbus,Ohio,40.0919,-82.9725342,(614) 891-0150,http://www.bakhitacolumbus.org/,13,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-church-of-st-ladislas-fa52bd1e,St. Ladislas,277 Reeb Ave,Columbus,Ohio,39.9248125,-82.9880625,16144432828,$undefined,0,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-saint-margaret-of-cortona-82376170,St. Margaret of Cortona,1600 N Hague Ave,Columbus,Ohio,39.987461,-83.088295,(614) 279-1690,http://www.stmargaretcolumbus.org/,7,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-saint-mary-magdalene-32c4a553,St. Mary Magdalene,473 S Roys Ave,Columbus,Ohio,39.9453099,-83.07735612,(614) 274-1121,http://www.stmarymagdalenecolumbus.org/,14,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-saint-mary-44634f7c,St. Mary of the Assumption,684 S 3rd St,Columbus,Ohio,39.94875057,-82.99480048,(614) 445-9668,http://stmarychurchgv.org/,11,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-st-marys-syro-malabar-catholic-mission-acb02b69,St. Mary’s Syro Malabar Catholic Mission,893 Hamlet St,Columbus,Ohio,39.9809074,-82.99987557,614 956 9116,http://www.columbuschurch.org/,3,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-church-of-st-matthias-a3620f4d,St. Matthias,1582 Ferris Rd,Columbus,Ohio,40.0510625,-82.9749375,16142673406,https://www.bakhitacolumbus.org/,9,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-saint-patrick-97db0cb5,St. Patrick,280 N Grant Ave,Columbus,Ohio,39.96886933,-82.99197676,(614) 240-5910,http://www.stpatrickcolumbus.org/,20,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-church-of-st-peter-2ad289be,St. Peter,6899 Smoky Row Rd,Columbus,Ohio,40.1059375,-83.0658125,16148892221,https://www.oogie.eu/,0,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-st-peter-campus-saint-peter-saint-joan-of-arc-parish-770aaf06,St. Peter,6899 Smoky Row Rd,Columbus,Ohio,40.10611807,-83.06545226,(614) 761-0905,http://spsjoa.org/,11,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-church-of-st-philip-the-apostle-a6d7292e,St. Philip the Apostle,1573 Elaine Rd,Columbus,Ohio,39.9421875,-82.8860625,16142371671,http://www.stphilipcolumbus.org,0,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-st-stephen-the-martyr-03ceb9a2,St. Stephen the Martyr,4131 Clime Rd,Columbus,Ohio,39.93005467,-83.10610051,(614) 272-5206,https://columbuscatholic.org/st-stephen-the-martyr,3,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-st-thomas-more-newman-center-ohio-st-univ-16089797,St. Thomas More Newman Center (Ohio St. Univ.),64 W Lane Ave,Columbus,Ohio,40.00628425,-83.01103222,(614) 291-4674,http://www.buckeyecatholic.com/,19,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-st-thomas-the-apostle-47b3d6fe,St. Thomas the Apostle,2692 E Fifth Ave,Columbus,Ohio,39.98575123,-82.93167795,(614) 252-0976,http://jmjcolumbus.org/,5,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-saint-timothy-133480c5,St. Timothy,1088 Thomas Ln,Columbus,Ohio,40.0340674,-83.04556684,(614) 451-2671,http://www.sttimchurch.org/,12,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-columbus-saints-augustine-and-gabriel-a836c4d8,Sts. Augustine and Gabriel,1550 E Hudson St,Columbus,Ohio,40.01415435,-82.96831489,(614) 268-3123,https://www.augustinegabriel.org,7,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-delaware-st-mary-parish-6c66e014,St. Mary,82 E William St,Delaware,Ohio,40.298317,-83.0647049,(740) 363-4641,https://www.delawarestmary.org/,14,0,0,False,Hilliard; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/hilliard-ohio,2026-02-20T20:09:52.002124+00:00
us-oh-dublin-saint-brigid-of-kildare-6cfd6e43,St. Brigid of Kildare,7179 Avery Rd,Dublin,Ohio,40.11802262,-83.15839186,(614) 761-3734,https://www.stbrigidofkildare.org,13,0,0,False,Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/groveport-ohio,2026-02-20T20:09:50.430076+00:00
us-oh-gahanna-saint-matthew-the-apostle-ac5c4277,St. Matthew the Apostle,807 Havens Corners Rd,Gahanna,Ohio,40.01718131,-82.85387217,(614) 471-0212,https://www.stmatthew.net,4,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-granville-saint-edward-the-confessor-8d73104e,St Edward the Confessor,785 Newark-Granville Rd,Granville,Ohio,40.06805546,-82.50704908,(740) 587-3254,https://www.saintedwards.org/,8,0,0,False,Canal Winchester,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-grove-city-our-lady-of-perpetual-help-7815f1cf,Our Lady of Perpetual Help Church,3730 Broadway,Grove City,Ohio,39.88751302,-83.08795897,(614) 875-3322,http://ourladygc.org/,7,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-groveport-church-of-st-mary-67cb7df0,St. Mary,5684 Rd,Groveport,Ohio,39.8584375,-82.9056875,16144971324,https://stmarychurchgv.org/,11,0,0,False,Canal Winchester; Groveport; Hilliard; Grove City; Obetz; Hamilton Township; Lithopolis; Lockbourne; Madison Township; West Columbus; Lincoln Village; Prairie Township; Westgate; Galloway; Urbancrest; Commercial Point,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
us-oh-heath-church-of-st-leonard-d919f762,St. Leonard,57 Dorsey Mill Rd,Heath,Ohio,40.0194375,-82.4429375,17405225270,https://www.stleonard-heath.com/,8,0,0,False,Canal Winchester,https://catholicindex.org/mass-times/canal-winchester-ohio,2026-02-20T20:09:48.974676+00:00
